OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
11,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1973/01/01 08:00:00+00,1973/01/01 08:00:00+00,499.72147776,1973,UNKNOWN,21767780.5,19715.3965534394
12,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,100.46829673,1991,UNKNOWN,4376381.5,8645.8060582547
13,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,26.39785582,1991,UNKNOWN,1149886,4055.30474050211
14,WASES,WA DNR - SE REGION,CLEVELAND FIRE,UNKNOWN,1998/07/27 07:00:00+00,1998/07/27 07:00:00+00,18500.4198579,1998,LIGHTNING,805875065.5,143802.55906529
15,WASES,WA DNR - SE REGION,MAJOR CREEK FIRE,UNKNOWN,1999/07/01 07:00:00+00,1999/07/01 07:00:00+00,730.60635447,1999,UNKNOWN,31825085.5,34745.4072301126
16,WASES,WA DNR - SE REGION,EASTON FIRE,UNKNOWN,1999/09/11 07:00:00+00,1999/09/11 07:00:00+00,75.93894012,1999,UNKNOWN,3307887,8346.40643984661
17,WASES,WA DNR - SE REGION,MIDDLE FORK FIRE,UNKNOWN,2000/08/29 07:00:00+00,2000/08/29 07:00:00+00,2.24146902,2000,UNKNOWN,97638,1233.87418311586
18,WASES,WA DNR - SE REGION,WHITES BASIN FIRE,UNKNOWN,2000/07/17 07:00:00+00,2000/07/17 07:00:00+00,122.67797005,2000,UNKNOWN,5343831,14408.7529853834
19,WAOWF,OKAN-WEN NF,BAILEY FIRE,UNKNOWN,2001/08/13 07:00:00+00,2001/08/13 07:00:00+00,3211.96752531,2001,UNKNOWN,139912745.75,85511.1072889559
20,WASES,WA DNR - SE REGION,DRY CREEK FIRE,UNKNOWN,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,17.14686611,2001,UNKNOWN,746914.5,3467.790279607
21,WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,UNKNOWN,2001/08/12 07:00:00+00,2001/08/12 07:00:00+00,5516.094728,2001,UNKNOWN,240280125.2285,79565.077700267
22,WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,UNKNOWN,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,128.72576743,2001,UNKNOWN,5607272,15603.2062509586
23,WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),333,2001/08/12 07:00:00+00,2001/08/12 07:00:00+00,584.61616996,2001,UNKNOWN,25465778.5,23112.9043613485
24,WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,UNKNOWN,2001/07/09 07:00:00+00,2001/07/09 07:00:00+00,3789.27302155,2001,UNKNOWN,165060072.576589,75715.3340154696
25,WAOWF,OKAN-WEN NF,REX CREEK FIRE,UNKNOWN,2001/08/12 07:00:00+00,2001/08/12 07:00:00+00,44581.48303191,2001,UNKNOWN,1941961633,472970.53099302
26,WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),090,2001/09/15 07:00:00+00,2001/09/15 07:00:00+00,312.56508176,2001,UNKNOWN,13615280.5,31030.2070535688
27,WANES,WA DNR - NE REGION,PINGSTON,271,2007/07/28 07:00:00+00,2007/07/28 07:00:00+00,126.1982665,2007,UNKNOWN,5497174.5,12280.9296169835
28,WACOA,COLVILLE AGENCY,ABRAHAM CANYON,166,2008/07/10 07:00:00+00,2008/07/13 07:00:00+00,372.33179875,2008,UNKNOWN,16218708.27853,21459.9279836214
29,WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,UNKNOWN,2001/08/16 07:00:00+00,2001/08/16 07:00:00+00,2722.11064738,2001,UNKNOWN,118574665.5,114102.018432307
30,WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),132,2001/08/12 07:00:00+00,2001/08/12 07:00:00+00,32978.7297895,2001,UNKNOWN,1436547723.4225,335745.224620086
31,WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,709,2001/09/16 07:00:00+00,2001/09/16 07:00:00+00,647.1737262,2001,UNKNOWN,28190774.75,41293.4413991273
32,WASES,WA DNR - SE REGION,TOUCHET ROAD,UNKNOWN,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,258.25443063,2001,UNKNOWN,11249518,16295.7707818378
33,WASES,WA DNR - SE REGION,UNION VALLEY FIRE,366,2001/07/27 07:00:00+00,2001/07/27 07:00:00+00,4523.3080209,2001,UNKNOWN,197034509.25,95576.3877567014
34,WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,UNKNOWN,2002/08/16 07:00:00+00,2002/08/16 07:00:00+00,2280.88454823,2002,UNKNOWN,99354933.5,52617.8213420216
35,WAOWF,OKAN-WEN NF,DEER POINT FIRE,UNKNOWN,2002/07/15 07:00:00+00,2002/07/15 07:00:00+00,20993.93033698,2002,UNKNOWN,914491947.5,236870.867922614
36,WASES ,WA DNR - SE REGION,EWE NECK FIRE,UNKNOWN,2002/08/01 07:00:00+00,2002/08/01 07:00:00+00,75.9503038,2002,UNKNOWN,3308382,10674.3134605298
37,WANES,WA DNR - NE REGION,BLACK CANYON FIRE,310,2003/08/10 07:00:00+00,2003/08/10 07:00:00+00,2281.36471544,2003,UNKNOWN,99375849.5,67625.6338818602
38,WANES,WA DNR - NE REGION,BULLDOG FIRE,403,2003/09/05 07:00:00+00,2003/09/05 07:00:00+00,411.58409583,2003,UNKNOWN,17928531.5,28466.9253839119
39,WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),UNKNOWN,2003/06/30 07:00:00+00,2003/06/30 07:00:00+00,81233.40724807,2003,UNKNOWN,3538513065.631,430202.408447805
40,WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),199,2003/06/30 07:00:00+00,2003/06/30 07:00:00+00,74.02080802,2003,UNKNOWN,3224333.5,8643.14500834376
41,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),147,2003/08/07 07:00:00+00,2003/08/07 07:00:00+00,169.78598676,2003,UNKNOWN,7395848,16111.6336546386
42,WAOWF,OKAN-WEN NF,MAPLE,467,2003/09/06 07:00:00+00,2003/09/06 07:00:00+00,1626.25142006,2003,UNKNOWN,70839228.5,85591.9350915302
43,WACOA,COLVILLE AGENCY,MCGINNIS FLAT,097,2003/07/18 07:00:00+00,2003/07/18 07:00:00+00,2255.85284801,2003,UNKNOWN,98264557,49410.0006225948
44,WAOWF,OKAN-WEN NF,NEEDLES FIRE,398,2003/09/03 07:00:00+00,2003/09/03 07:00:00+00,19328.21003774,2003,UNKNOWN,841933461.5,285480.365194866
45,WAMRP,MOUNT RAINIER NP,PANTHER FIRE (MOUNT RAINIER COMPLEX),168,2003/08/21 07:00:00+00,2003/08/21 07:00:00+00,43.95596095,2003,UNKNOWN,1914714,6367.03544373455
46,WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,079,2003/07/05 07:00:00+00,2003/07/05 07:00:00+00,10486.7618965,2003,UNKNOWN,456801521,158290.702743987
47,WAMRP,MOUNT RAINIER NP,REDSTONE FIRE (MOUNT RAINIER COMPLEX),168,2003/08/21 07:00:00+00,2003/08/21 07:00:00+00,46.97740324,2003,UNKNOWN,2046327.5,6460.51128050182
48,WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,482,2003/08/26 07:00:00+00,2003/08/26 07:00:00+00,903.30043368,2003,UNKNOWN,39347609.5,42067.1891565
49,WASPD,SPOKANE BLM,BEEBE,003,2004/07/04 07:00:00+00,2004/07/06 07:00:00+00,4205.59362447,2004,UNKNOWN,183194925.5,115531.072962644
50,WANES,WA DNR - NE REGION,BOTTLE TWO,103,2004/06/21 07:00:00+00,2004/06/23 07:00:00+00,33.38955045,2004,LIGHTNING,1454443,6989.5913933926
51,WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),271,2004/06/19 07:00:00+00,2004/08/16 07:00:00+00,29995.51187816,2004,UNKNOWN,1306599271,247462.907769926
52,WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,639,2004/08/16 07:00:00+00,2004/08/16 07:00:00+00,295.32827038,2004,UNKNOWN,12864448,14590.7110981991
53,WACOA,COLVILLE AGENCY,ELMER CITY,218,2004/07/29 07:00:00+00,2004/07/29 07:00:00+00,1928.78592682,2004,CHILDREN,84017578.901,80032.0602759451
54,WAOWF,OKAN-WEN NF,FISCHER,689,2004/08/08 07:00:00+00,2004/08/23 07:00:00+00,16425.33218253,2004,EQUIPMENT USE,715484607.924,188662.900550893
55,WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),248,2004/06/24 07:00:00+00,2004/08/13 07:00:00+00,708.04545155,2004,LIGHTNING,30842336.5,91475.4006850217
56,WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),464,2004/08/19 07:00:00+00,2004/08/19 07:00:00+00,10.26878534,2004,UNKNOWN,447306.5,3056.18097650604
57,WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),143,2004/06/26 07:00:00+00,2004/07/03 07:00:00+00,5071.7412695,2004,UNKNOWN,220924166,75793.2948130132
58,WAOWF,OKAN-WEN NF,ICICLE,443,2004/07/15 07:00:00+00,2004/07/23 07:00:00+00,696.92253057,2004,UNKNOWN,30357824,26167.8891549864
59,WASES,WA DNR - SE REGION,LAUDERDALE,543,2004/07/25 07:00:00+00,2004/07/28 07:00:00+00,247.8296494,2004,ARSON,10795416.346,23638.6135677165
60,WAOWF,OKAN-WEN NF,MEBEE FIRE (WILLIAMS BUTTE COMPLEX),666,2004/08/10 07:00:00+00,2004/08/17 07:00:00+00,234.37441537,2004,LIGHTNING,10209308.696,15191.285168208
61,WANES,WA DNR - NE REGION,MILL CANYON FIRE (MILL CANYON COMPLEX),334,2004/08/01 07:00:00+00,2004/08/05 07:00:00+00,1090.03615537,2004,RECREATION,47481785,48130.6060422872
62,WASES,WA DNR - SE REGION,MUD LAKE,693,2004/08/10 07:00:00+00,2004/08/14 07:00:00+00,3864.29302832,2004,UNKNOWN,168327931,66960.7795244516
63,WAOWF,OKAN-WEN NF,PEEVE FIRE (WILLIAMS BUTTE COMPLEX),UNKNOWN,2004/07/30 07:00:00+00,2004/07/30 07:00:00+00,51.23623571,2004,UNKNOWN,2231841.5,7113.3671360895
64,WAOWF,OKAN-WEN NF,POT PEAK FIRE (POT PEAK / SISI RIDGE COMPLEX),271,2004/06/26 07:00:00+00,2004/08/02 07:00:00+00,15395.1402249,2004,LIGHTNING,670609625.75,172317.902708391
65,WAOWF,OKAN-WEN NF,N/A,271,2004/06/26 07:00:00+00,2004/06/26 07:00:00+00,1.77180461,2004,UNKNOWN,77179.5,1146.5056788559
66,WAOWF,OKAN-WEN NF,RATTLESNAKE PEAK,553,2004/07/18 07:00:00+00,2004/08/14 07:00:00+00,662.25788606,2004,UNKNOWN,28847838.125,50650.243288341
67,WAOWF,OKAN-WEN NF,REECER,062,2004/04/27 07:00:00+00,2004/04/28 07:00:00+00,107.75963673,2004,CAMPFIRE,4693991,10990.0621977491
68,WAOWF,OKAN-WEN NF,SISI RIDGE FIRE (POT PEAK / SISI RIDGE COMPLEX),525,2004/06/19 07:00:00+00,2004/07/26 07:00:00+00,343.19843432,2004,LIGHTNING,14949664,20513.7092048144
69,WAOWF,OKAN-WEN NF,WILLIAMS BUTTE FIRE (WILLIAMS BUTTE COMPLEX),755,2004/08/16 07:00:00+00,2004/08/22 07:00:00+00,1257.84650291,2004,LIGHTNING,54791574.5,32342.702576707
70,WANES,WA DNR - NE REGION,BURNT BREAD,177,2005/08/06 07:00:00+00,2005/08/25 07:00:00+00,1351.45740167,2005,MISCELLANEOUS,58869248.93895,52872.2520877892
71,WASES,WA DNR - SE REGION,DIRTY FACE FIRE,365,2005/07/30 07:00:00+00,2005/08/07 07:00:00+00,1150.52522308,2005,MISCELLANEOUS,50116678.25,40917.0524081619
72,WANES,WA DNR - NE REGION,HARKER CANYON,219,2005/08/10 07:00:00+00,2005/08/14 07:00:00+00,1557.29132443,2005,UNKNOWN,67835338.75,54959.6163829392
73,WASPA,SPOKANE AGENCY,HOT FALLS,UNKNOWN,2005/07/15 07:00:00+00,2005/07/15 07:00:00+00,174.4137027,2005,ARSON,7597430.5,13379.8335885456
74,WASES,WA DNR - SE REGION,LICK CREEK,392,2005/08/04 07:00:00+00,2005/08/07 07:00:00+00,734.67808219,2005,EQUIPMENT USE,32002449.25,30363.9597635077
75,WANES,WA DNR - NE REGION,MARTIN ROAD FIRE,346,2005/09/28 07:00:00+00,2005/09/28 07:00:00+00,877.5770755,2005,DEBRIS BURN,38227104.5,39967.9877619529
76,WANES,WA DNR - NE REGION,PEARRYGIN LAKE,089,2005/07/03 07:00:00+00,2005/07/07 07:00:00+00,531.28786895,2005,MISCELLANEOUS,23142807,21133.2494643068
77,ORUMF,UMATILLA NF,SCHOOL FIRE,UNKNOWN,2005/08/05 07:00:00+00,2005/08/16 07:00:00+00,49684.75034004,2005,UNKNOWN,2164259067.75,370901.339731481
78,WACOA,COLVILLE AGENCY,SECOND HUD,UNKNOWN,2005/07/06 07:00:00+00,2005/07/06 07:00:00+00,4176.06234755,2005,UNKNOWN,181908548.222827,92371.9847281603
79,WANCP,NORTH CASCADES NP,SHADY,UNKNOWN,2005/07/19 07:00:00+00,2005/08/02 07:00:00+00,153.16695794,2005,MISCELLANEOUS,6671926,11571.7732104116
80,WAWFS,WA FIRE SERVICE,BADGER MOUNTAIN FIRE (BADGER MTN COMPLEX),902,2008/07/10 07:00:00+00,2008/07/13 07:00:00+00,13265.63743152,2008,UNKNOWN,577848855.114558,135259.593797116
81,WANES,WA DNR - NE REGION,RED LAKE,UNKNOWN,1997/01/01 08:00:00+00,1997/01/01 08:00:00+00,1150.8925627,1997,UNKNOWN,50132679.5,37331.8932622505
82,WASPS,WA DNR - SPS REGION,DEWATTO 2,074,2006/09/02 07:00:00+00,2006/09/06 07:00:00+00,61.2668931,2006,ARSON,2668775.1885,9567.11724230056
83,WAOWF,OKAN-WEN NF,FLICK CREEK,406,2006/07/07 07:00:00+00,2006/09/14 07:00:00+00,7888.75476548,2006,CAMPFIRE,343632783.049,181931.46672425
84,WAMSF,MT. BAKER-SNOQ NF,GREENWATER 7440,341,2006/09/02 07:00:00+00,2006/09/12 07:00:00+00,193.16638966,2006,UNKNOWN,8414294.2765,18690.2042106178
85,WAYAA,BIA - YAKIMA,JUNGLE BUTTE (JUNGLE BUTTE COMPLEX),098,2006/09/04 07:00:00+00,2006/09/04 07:00:00+00,92.94075285,2006,UNKNOWN,4048483,10241.2347126374
86,WAYAA,BIA - YAKIMA,KLOSE BUTTE (JUNGLE BUTTE COMPLEX),098,2007/09/04 07:00:00+00,2007/09/04 07:00:00+00,36.79927484,2007,UNKNOWN,1602970,5733.10994202536
87,WAYAA,BIA - YAKIMA,PEAVINE RIDGE (JUNGLE BUTTE COMPLEX),098,2006/09/04 07:00:00+00,2006/09/09 07:00:00+00,321.59226433,2006,UNKNOWN,14008503,23630.181290663
88,WAOWF,OKAN-WEN NF,POLALLIE,634,2006/09/04 07:00:00+00,2006/09/14 07:00:00+00,961.6584334,2006,LIGHTNING,41889673.7995,45950.93099291
89,WANES,WA DNR - NE REGION,QUINN'S MEADOW,422,2006/08/29 07:00:00+00,2006/09/02 07:00:00+00,323.23782876,2006,DEBRIS BURN,14080183.5,23813.4602895479
90,WAOWF,OKAN-WEN NF,TATOOSH (TATOOSH COMPLEX),547,2006/08/22 07:00:00+00,2006/09/12 07:00:00+00,54331.78201564,2006,UNKNOWN,2366682957.841,703318.834732813
91,WAOWF,OKAN-WEN NF,TINPAN,304,2006/07/07 07:00:00+00,2006/09/14 07:00:00+00,9253.1123814,2006,LIGHTNING,403063963.07325,284800.515522715
92,WANES,WA DNR - NE REGION,VALLEY MILL,298,2006/08/08 07:00:00+00,2006/08/08 07:00:00+00,460.53613966,2006,DEBRIS BURN,20060874,26368.2062774887
93,WAOWF,OKAN-WEN NF,VAN PEAK,638,2006/09/04 07:00:00+00,2006/09/04 07:00:00+00,1815.93883514,2006,LIGHTNING,79101979.25,85314.6100976922
94,WAWFS,WA FIRE SERVICE,LEWIS AND CLARK,1772,2007/06/13 07:00:00+00,2007/06/15 07:00:00+00,752.88580539,2007,EQUIPMENT USE,32795574.5,20866.6293898515
95,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - SIXPRONG,802,2007/07/13 07:00:00+00,2007/07/16 07:00:00+00,20395.00144907,2007,LIGHTNING,888402709.5,247964.660129023
96,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - WOODGULCH,802,2007/07/13 07:00:00+00,2007/07/13 07:00:00+00,7665.65524937,2007,UNKNOWN,333914607,117459.489560026
97,WACOF,COLVILLE NF,CROWN CREEK,092,2007/07/13 07:00:00+00,2007/07/19 07:00:00+00,34.56344748,2007,LIGHTNING,1505577.75,7213.0291072789
98,WANES,WA DNR - NE REGION,MOSES - DNR COMPLEX,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,4440.2636862,1991,UNKNOWN,193417112.5,90036.2434263148
99,WA,UNKNOWN,MARSHALL,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,988.30662769,1991,UNKNOWN,43050464.5,70739.5284136253
100,WA,UNKNOWN,HAPPY HILL,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,624.0279782,1991,UNKNOWN,27182550,25239.1533074947
101,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL,UNKNOWN,2009/07/30 07:00:00+00,2009/08/05 07:00:00+00,18.88934802,2009,UNKNOWN,822816.708365,6030.34435202616
102,WACOA,COLVILLE AGENCY,MILEPOST 281,272,2009/09/01 07:00:00+00,2009/09/03 07:00:00+00,310.06666942,2009,MISCELLANEOUS,13506450.094137,15679.2499412272
103,WASPD,SPOKANE BLM,SPUD FIRE,UNKNOWN,2005/06/28 07:00:00+00,2005/06/29 07:00:00+00,123.42634311,2005,UNKNOWN,5376430,15872.1286228318
104,WANES,WA DNR - NE REGION,SQUAW CREEK,320,2005/09/08 07:00:00+00,2005/09/11 07:00:00+00,1097.04661729,2005,ELECTRIC FENCE,47787159.5,35882.4760827997
105,WAMCR,MID COLUMBIA NWR,WEATHER STATION,UNKNOWN,2005/07/05 07:00:00+00,2005/07/07 07:00:00+00,4914.72714895,2005,MISCELLANEOUS,214084658.267044,74570.9159100282
106,WACOA,COLVILLE AGENCY,WEST LAKE OMAK,UNKNOWN,2005/07/12 07:00:00+00,2005/07/15 07:00:00+00,11264.63688587,2005,EQUIPMENT USE,490685620,164770.808939763
107,WASES,WA DNR - SE REGION,WOOD GULCH,325,2005/07/23 07:00:00+00,2005/07/26 07:00:00+00,5751.16107854,2005,UNKNOWN,250519574.5,111030.640886623
108,WAOLP,OLYMPIC NP,BEAR GULCH II,215,2006/07/25 07:00:00+00,2006/08/28 07:00:00+00,797.59432903,2006,UNKNOWN,34743070,33627.1444501972
109,WANES,WA DNR - NE REGION,BISBEE MTN. FIRE,455,2006/09/09 07:00:00+00,2006/09/11 07:00:00+00,485.10347565,2006,MISCELLANEOUS,21131022.875,27739.0920408509
110,WAOWF,OKAN-WEN NF,CEDAR CREEK (TRIPOD COMPLEX),553,2006/08/22 07:00:00+00,2006/09/13 07:00:00+00,1631.10970282,2006,LIGHTNING,71050854.45075,108173.7111259
111,WA,UNKNOWN,NINEMILE,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,15044.23400608,1991,UNKNOWN,655324212,262466.060728184
112,WA,UNKNOWN,CHATTAROY,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,4728.47892308,1991,UNKNOWN,205971718,195519.2194165
113,WA,UNKNOWN,UNKNOWN,UNKNOWN,1985/01/01 08:00:00+00,1985/01/01 08:00:00+00,184.77554397,1985,UNKNOWN,8048790.5,13850.2580143408
114,WA,UNKNOWN,PONDEROSA,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,1474.66884633,1991,UNKNOWN,64236318,44536.838310892
115,WA,UNKNOWN,JENNINGS ROAD,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,283.505668,1991,UNKNOWN,12349457.5,17743.3190125517
116,WA,UNKNOWN,NINEMILE RD,UNKNOWN,1996/01/01 08:00:00+00,1996/01/01 08:00:00+00,3019.12954666,1996,UNKNOWN,131512757,118253.2598604
117,WA,UNKNOWN,RAMBO RD,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,268.75578117,1991,UNKNOWN,11706955,22103.2723074454
118,WA,UNKNOWN,GREENBLUFF,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,98.2191027,1991,UNKNOWN,4278407,9548.6410352686
119,WA,UNKNOWN,LEESON PIT,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,146.57213128,1991,UNKNOWN,6384656.5,14159.3078716685
120,WA,UNKNOWN,TEMPLE,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,190.32213411,1991,UNKNOWN,8290399,19270.0869857035
121,WA,UNKNOWN,HOLCOMB,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,744.13699858,1991,UNKNOWN,32414478,30166.5958673184
122,WA,UNKNOWN,TRENT,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,797.31130449,1991,UNKNOWN,34730741.5,41967.7738833178
123,WA,UNKNOWN,HANGMAN,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,131.05694066,1991,UNKNOWN,5708817.5,11726.0692760814
124,WANCP,NORTH CASCADES NP,YAXON,346,2010/07/29 07:00:00+00,2010/08/02 07:00:00+00,6.68998526,2010,LIGHTNING,291414.5921575,2296.85765909225
125,WA,UNKNOWN,HOMESTEAD,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,283.16590539,1991,UNKNOWN,12334657.5,14922.600348567
126,WASES,WA DNR - SE REGION,COLUMBIA COMPLEX,545,2006/08/21 07:00:00+00,2006/08/21 07:00:00+00,109401.7753911,2006,UNKNOWN,4765522273.89,1367013.44217068
127,WAWFS,WA FIRE SERVICE,AVERY,UNKNOWN,2009/08/13 07:00:00+00,2009/08/13 07:00:00+00,264.60167397,2009,UNKNOWN,11526002.8137875,24637.4544313597
128,WACOA,COLVILLE AGENCY,CAMERON LAKE,167,2013/08/06 07:00:00+00,2013/08/07 07:00:00+00,131.1028321,2013,LIGHTNING,5710816.5231055,9383.72516977505
129,WACOA,COLVILLE AGENCY,BUFFALO LAKE,0254,2009/08/21 07:00:00+00,2009/08/21 07:00:00+00,328.63973445,2009,ARSON,14315489.5705185,16752.5926218895
130,WACOF,COLVILLE NF,SLEEPY,024,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,1401.85056765,2001,UNKNOWN,61064366.46875,49277.5379725204
131,WAOWF,OKAN-WEN NF,DISCOVERY,UNKNOWN,2009/07/28 07:00:00+00,2009/08/08 07:00:00+00,4120.2867889,2009,UNKNOWN,179478974.606471,66560.7776834606
132,WAMCR,MID COLUMBIA NWR,DRY CREEK COMPLEX,UNKNOWN,2009/08/21 07:00:00+00,2009/08/23 07:00:00+00,48901.64865507,2009,UNKNOWN,2130147294.80012,515045.110673204
133,WASES,WA DNR - SE REGION,HIGH HILL,UNKNOWN,2009/08/20 07:00:00+00,2009/08/22 07:00:00+00,98.61899503,2009,UNKNOWN,4295826.239968,15860.7734913992
134,WASES,WA DNR - SE REGION,SR-17,UNKNOWN,2009/08/20 07:00:00+00,2009/08/23 07:00:00+00,897.49516605,2009,UNKNOWN,39094733.053676,26698.2117060652
135,WASES,WA DNR - SE REGION,B.5,UNKNOWN,2009/08/20 07:00:00+00,2009/08/23 07:00:00+00,282.12277067,2009,UNKNOWN,12289218.7332705,19226.8184619792
136,WASES,WA DNR - SE REGION,TRAIL,UNKNOWN,2009/07/05 07:00:00+00,2009/07/07 07:00:00+00,63.30774201,2009,CAMPFIRE,2757674.211368,8164.27954738287
137,WASES,WA DNR - SE REGION,OAK CREEK,UNKNOWN,2009/07/15 07:00:00+00,2009/07/17 07:00:00+00,150.41144852,2009,UNKNOWN,6551896.490018,14181.7471612622
138,WASES,WA DNR - SE REGION,NAHAHUM,UNKNOWN,2009/08/19 07:00:00+00,2009/08/19 07:00:00+00,48.50436303,2009,UNKNOWN,2112841.602133,6816.9416600241
139,WASES,WA DNR - SE REGION,LAKE ENTIAT,UNKNOWN,2009/06/02 07:00:00+00,2009/06/02 07:00:00+00,182.4252547,2009,UNKNOWN,7946412.309018,17552.2923630496
140,WASES,WA DNR - SE REGION,HALE STORM,UNKNOWN,2009/07/31 07:00:00+00,2009/08/05 07:00:00+00,54.80694637,2009,UNKNOWN,2387381.0342245,8682.60643481067
141,WANES,WA DNR - NE REGION,ODEN ROAD,1262,2009/08/22 07:00:00+00,2009/08/26 07:00:00+00,9607.49330354,2009,LIGHTNING,418500734.294016,118315.075555017
142,WACOA,COLVILLE AGENCY,MILEPOST 38,304,2009/09/16 07:00:00+00,2009/09/18 07:00:00+00,1910.88147461,2009,MISCELLANEOUS,83237664.0821975,52565.665526775
