"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	174	34936	498.1
	"2002"	"2002"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	208	39604	525.2
"Total"	"2002"	"2002"	"Oregon"	"41"	"Black or African American"	"2054-5"			382	74540	512.5
	"2002"	"2002"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15340	1634342	938.6
	"2002"	"2002"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14767	1607737	918.5
"Total"	"2002"	"2002"	"Oregon"	"41"	"White"	"2106-3"			30107	3242079	928.6
"Total"	"2002"	"2002"	"Oregon"	"41"					31119	3513424	885.7
	"2002"	"2002"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	274	58999	464.4
	"2002"	"2002"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	299	58690	509.5
"Total"	"2002"	"2002"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			573	117689	486.9
	"2002"	"2002"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	624	226289	275.8
	"2002"	"2002"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	708	200393	353.3
"Total"	"2002"	"2002"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1332	426682	312.2
	"2002"	"2002"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	509	114957	442.8
	"2002"	"2002"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	629	130912	480.5
"Total"	"2002"	"2002"	"Washington"	"53"	"Black or African American"	"2054-5"			1138	245869	462.8
	"2002"	"2002"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	21307	2636497	808.2
	"2002"	"2002"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20988	2625612	799.4
"Total"	"2002"	"2002"	"Washington"	"53"	"White"	"2106-3"			42295	5262109	803.8
"Total"	"2002"	"2002"	"Washington"	"53"					45338	6052349	749.1
"Total"	"2002"	"2002"							311022	44437616	699.9
	"2003"	"2003"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	543	265998	204.1
	"2003"	"2003"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	704	268794	261.9
"Total"	"2003"	"2003"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1247	534792	233.2
	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	7918	2401971	329.6
	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	8879	2219287	400.1
"Total"	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			16797	4621258	363.5
	"2003"	"2003"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9063	1316660	688.3
	"2003"	"2003"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9825	1268907	774.3
"Total"	"2003"	"2003"	"California"	"06"	"Black or African American"	"2054-5"			18888	2585567	730.5
	"2003"	"2003"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	101655	13724880	740.7
	"2003"	"2003"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	100784	13786662	731.0
"Total"	"2003"	"2003"	"California"	"06"	"White"	"2106-3"			202439	27511542	735.8
"Total"	"2003"	"2003"	"California"	"06"					239371	35253159	679.0
	"2003"	"2003"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	136	31670	429.4
	"2003"	"2003"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	158	31327	504.4
"Total"	"2003"	"2003"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			294	62997	466.7
	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	206	73920	278.7
	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	187	66954	279.3
"Total"	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			393	140874	279.0
	"2003"	"2003"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	160	35761	447.4
	"2003"	"2003"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	233	40490	575.5
"Total"	"2003"	"2003"	"Oregon"	"41"	"Black or African American"	"2054-5"			393	76251	515.4
	"2003"	"2003"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15193	1647454	922.2
	"2003"	"2003"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14639	1619800	903.8
"Total"	"2003"	"2003"	"Oregon"	"41"	"White"	"2106-3"			29832	3267254	913.1
"Total"	"2003"	"2003"	"Oregon"	"41"					30912	3547376	871.4
	"2003"	"2003"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	300	60495	495.9
	"2003"	"2003"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	335	60123	557.2
"Total"	"2003"	"2003"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			635	120618	526.5
	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	705	235447	299.4
	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	699	207966	336.1
"Total"	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1404	443413	316.6
	"2003"	"2003"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	505	117809	428.7
	"2003"	"2003"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	708	133116	531.9
"Total"	"2003"	"2003"	"Washington"	"53"	"Black or African American"	"2054-5"			1213	250925	483.4
	"2003"	"2003"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	21711	2651988	818.7
	"2003"	"2003"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20957	2637171	794.7
"Total"	"2003"	"2003"	"Washington"	"53"	"White"	"2106-3"			42668	5289159	806.7
"Total"	"2003"	"2003"	"Washington"	"53"					45920	6104115	752.3
"Total"	"2003"	"2003"							316203	44904650	704.2
	"2004"	"2004"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	590	277479	212.6
	"2004"	"2004"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	665	280131	237.4
"Total"	"2004"	"2004"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1255	557610	225.1
	"2004"	"2004"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	7960	2472068	322.0
	"2004"	"2004"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	8898	2278079	390.6
"Total"	"2004"	"2004"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			16858	4750147	354.9
	"2004"	"2004"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8936	1324558	674.6
	"2004"	"2004"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9749	1278594	762.5
"Total"	"2004"	"2004"	"California"	"06"	"Black or African American"	"2054-5"			18685	2603152	717.8
	"2004"	"2004"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	98061	13797310	710.7
	"2004"	"2004"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	97666	13866357	704.3
"Total"	"2004"	"2004"	"California"	"06"	"White"	"2106-3"			195727	27663667	707.5
"Total"	"2004"	"2004"	"California"	"06"					232525	35574576	653.6
	"2004"	"2004"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	139	32573	426.7
	"2004"	"2004"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	167	32487	514.1
"Total"	"2004"	"2004"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			306	65060	470.3
	"2004"	"2004"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	197	76182	258.6
	"2004"	"2004"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	212	68609	309.0
"Total"	"2004"	"2004"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			409	144791	282.5
	"2004"	"2004"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	196	36455	537.6
	"2004"	"2004"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	217	41219	526.5
"Total"	"2004"	"2004"	"Oregon"	"41"	"Black or African American"	"2054-5"			413	77674	531.7
	"2004"	"2004"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	14832	1655167	896.1
	"2004"	"2004"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14353	1626771	882.3
"Total"	"2004"	"2004"	"Oregon"	"41"	"White"	"2106-3"			29185	3281938	889.3
"Total"	"2004"	"2004"	"Oregon"	"41"					30313	3569463	849.2
	"2004"	"2004"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	276	62648	440.6
	"2004"	"2004"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	316	61895	510.5
"Total"	"2004"	"2004"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			592	124543	475.3
	"2004"	"2004"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	682	245619	277.7
	"2004"	"2004"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	697	216079	322.6
"Total"	"2004"	"2004"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1379	461698	298.7
	"2004"	"2004"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	467	121175	385.4
	"2004"	"2004"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	612	136295	449.0
"Total"	"2004"	"2004"	"Washington"	"53"	"Black or African American"	"2054-5"			1079	257470	419.1
	"2004"	"2004"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	20974	2678373	783.1
	"2004"	"2004"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20746	2656561	780.9
"Total"	"2004"	"2004"	"Washington"	"53"	"White"	"2106-3"			41720	5334934	782.0
"Total"	"2004"	"2004"	"Washington"	"53"					44770	6178645	724.6
"Total"	"2004"	"2004"							307608	45322684	678.7
	"2005"	"2005"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	559	289539	193.1
	"2005"	"2005"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	667	292338	228.2
"Total"	"2005"	"2005"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1226	581877	210.7
	"2005"	"2005"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	8426	2545278	331.0
	"2005"	"2005"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	9321	2338986	398.5
"Total"	"2005"	"2005"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			17747	4884264	363.4
	"2005"	"2005"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9062	1328963	681.9
	"2005"	"2005"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	10054	1286444	781.5
"Total"	"2005"	"2005"	"California"	"06"	"Black or African American"	"2054-5"			19116	2615407	730.9
	"2005"	"2005"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	99295	13832450	717.8
	"2005"	"2005"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	99653	13913945	716.2
"Total"	"2005"	"2005"	"California"	"06"	"White"	"2106-3"			198948	27746395	717.0
"Total"	"2005"	"2005"	"California"	"06"					237037	35827943	661.6
	"2005"	"2005"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	128	33856	378.1
	"2005"	"2005"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	160	33755	474.0
"Total"	"2005"	"2005"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			288	67611	426.0
	"2005"	"2005"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	202	79529	254.0
	"2005"	"2005"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	198	71024	278.8
"Total"	"2005"	"2005"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			400	150553	265.7
	"2005"	"2005"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	177	37434	472.8
	"2005"	"2005"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	219	42577	514.4
"Total"	"2005"	"2005"	"Oregon"	"41"	"Black or African American"	"2054-5"			396	80011	494.9
	"2005"	"2005"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15296	1672628	914.5
	"2005"	"2005"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14711	1642399	895.7
"Total"	"2005"	"2005"	"Oregon"	"41"	"White"	"2106-3"			30007	3315027	905.2
"Total"	"2005"	"2005"	"Oregon"	"41"					31091	3613202	860.5
	"2005"	"2005"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	290	64103	452.4
	"2005"	"2005"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	349	63856	546.5
"Total"	"2005"	"2005"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			639	127959	499.4
	"2005"	"2005"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	703	256394	274.2
	"2005"	"2005"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	741	225168	329.1
"Total"	"2005"	"2005"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1444	481562	299.9
	"2005"	"2005"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	531	124568	426.3
	"2005"	"2005"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	715	140168	510.1
"Total"	"2005"	"2005"	"Washington"	"53"	"Black or African American"	"2054-5"			1246	264736	470.7
	"2005"	"2005"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	21718	2700331	804.3
	"2005"	"2005"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	21156	2682717	788.6
"Total"	"2005"	"2005"	"Washington"	"53"	"White"	"2106-3"			42874	5383048	796.5
"Total"	"2005"	"2005"	"Washington"	"53"					46203	6257305	738.4
"Total"	"2005"	"2005"							314331	45698450	687.8
	"2006"	"2006"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	575	301998	190.4
	"2006"	"2006"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	711	305310	232.9
"Total"	"2006"	"2006"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1286	607308	211.8
	"2006"	"2006"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	8814	2615741	337.0
	"2006"	"2006"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	9546	2397633	398.1
"Total"	"2006"	"2006"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			18360	5013374	366.2
	"2006"	"2006"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9013	1333724	675.8
	"2006"	"2006"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9804	1293213	758.1
"Total"	"2006"	"2006"	"California"	"06"	"Black or African American"	"2054-5"			18817	2626937	716.3
	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	98712	13846008	712.9
	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	99951	13927575	717.6
"Total"	"2006"	"2006"	"California"	"06"	"White"	"2106-3"			198663	27773583	715.3
"Total"	"2006"	"2006"	"California"	"06"					237126	36021202	658.3
	"2006"	"2006"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	153	35035	436.7
	"2006"	"2006"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	142	35079	404.8
"Total"	"2006"	"2006"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			295	70114	420.7
	"2006"	"2006"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	201	83203	241.6
	"2006"	"2006"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	220	73975	297.4
"Total"	"2006"	"2006"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			421	157178	267.8
	"2006"	"2006"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	171	38805	440.7
	"2006"	"2006"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	209	44391	470.8
"Total"	"2006"	"2006"	"Oregon"	"41"	"Black or African American"	"2054-5"			380	83196	456.8
