County,Year,Month,EstTotalAcres
Clackamas,2002,11,5.36
Clackamas,2003,6,6.76
Clackamas,2003,7,15.35
Clackamas,2003,8,4.51
Clackamas,2003,9,12.96
Clackamas,2003,10,0.22
Clackamas,2003,11,13.0
Clackamas,2004,3,5.01
Clackamas,2004,4,15.36
Clackamas,2004,6,0.4
Clackamas,2004,7,1.99
Clackamas,2004,8,1.55
Clackamas,2004,9,0.21000000000000002
Clackamas,2004,10,0.01
Clackamas,2005,2,0.75
Clackamas,2005,3,1.06
Clackamas,2005,4,0.02
Clackamas,2005,5,0.14
Clackamas,2005,7,1.01
Clackamas,2005,8,5.35
Clackamas,2005,9,3.79
Clackamas,2006,4,0.43
Clackamas,2006,5,31.66
Clackamas,2006,6,0.02
Clackamas,2006,7,54.339999999999996
Clackamas,2006,8,2.39
Clackamas,2006,9,4.31
Clackamas,2006,10,1.05
Clackamas,2006,11,0.1
Clackamas,2007,2,2.0
Clackamas,2007,5,2.15
Clackamas,2007,6,1.83
Clackamas,2007,7,3.23
Clackamas,2007,8,19.77
Clackamas,2007,9,0.31
Clackamas,2007,10,56.01
Clackamas,2008,6,0.07
Clackamas,2008,7,6.85
Clackamas,2008,8,1.99
Clackamas,2008,9,0.42
Clackamas,2009,5,0.11
Clackamas,2009,6,0.01
Clackamas,2009,7,4.640000000000001
Clackamas,2009,8,4.39
Clackamas,2009,9,0.78
Clackamas,2009,10,0.22
Clackamas,2009,11,0.01
Clackamas,2010,7,0.68
Clackamas,2010,8,1.36
Clackamas,2010,9,1.0
Clackamas,2010,10,0.51
Clackamas,2011,6,0.01
Clackamas,2011,7,0.11
Clackamas,2011,8,0.67
Clackamas,2011,9,2.0
Clackamas,2011,10,0.02
Clackamas,2012,5,1.0
Clackamas,2012,7,0.01
Clackamas,2012,8,0.54
Clackamas,2012,9,0.12
Clackamas,2012,10,2.44
Clackamas,2013,5,9.1
Clackamas,2013,6,0.8
Clackamas,2013,7,0.79
Clackamas,2013,8,0.27
Clackamas,2013,9,0.6
Clackamas,2013,10,188.0
Clackamas,2013,11,10.0
Clackamas,2014,1,0.02
Clackamas,2014,4,5.0
Clackamas,2014,6,0.11
Clackamas,2014,7,0.21000000000000002
Clackamas,2014,8,2.26
Clackamas,2014,9,5525.68
Clackamas,2014,10,0.25
Clackamas,2015,2,0.25
Clackamas,2015,3,0.25
Clackamas,2015,4,0.05
Clackamas,2015,6,1.26
Clackamas,2015,7,1.3199999999999998
Clackamas,2015,8,8.8
Clackamas,2015,9,0.62
Clackamas,2015,10,0.15000000000000002
Clackamas,2016,4,3.1599999999999997
Clackamas,2016,7,0.64
Clackamas,2016,8,0.81
Clackamas,2016,9,2.04
Clackamas,2016,12,0.02
Clackamas,2017,5,2.0
Clackamas,2017,6,0.03
Clackamas,2017,7,0.32
Clackamas,2017,8,5.01
Clackamas,2017,9,3.1
Clackamas,2017,10,575.5
Clackamas,2018,6,0.02
Clackamas,2018,7,2.58
Clackamas,2018,8,2.06
Clackamas,2018,9,8.03
Clackamas,2018,10,12.209999999999999
Clackamas,2018,11,0.5
Clackamas,2019,3,3.5
Clackamas,2019,4,0.02
Clackamas,2019,5,0.55
Clackamas,2019,6,0.06
Clackamas,2019,7,9.59
Clackamas,2019,8,0.62
Clackamas,2019,9,0.2
Clackamas,2020,7,3.21
Clackamas,2020,8,2.63
Clackamas,2020,9,139746.38
Clackamas,2020,10,0.2
Clackamas,2021,1,0.02
Clackamas,2021,4,0.75
Clackamas,2021,5,1.0
Clackamas,2021,6,1.26
Clackamas,2021,7,0.15000000000000002
Clackamas,2021,8,0.23
Clackamas,2021,9,9.22
Clackamas,2022,6,9.25
Clackamas,2022,7,0.22
Clackamas,2022,8,1.3
Clackamas,2022,9,35.34
Clackamas,2022,10,0.8500000000000001
Clackamas,2022,11,0.87
Clatsop,2000,6,1.2
Clatsop,2000,8,0.53
Clatsop,2000,9,0.48
Clatsop,2000,10,0.02
Clatsop,2000,11,6.95
Clatsop,2001,7,3.15
Clatsop,2001,8,0.27
Clatsop,2001,9,0.11
Clatsop,2001,10,0.25
Clatsop,2002,6,1.01
Clatsop,2002,7,1.01
Clatsop,2002,8,0.63
Clatsop,2002,9,1.6
Clatsop,2002,10,1.01
Clatsop,2002,11,55.2
Clatsop,2003,5,0.01
Clatsop,2003,6,3.1199999999999997
Clatsop,2003,7,0.35000000000000003
Clatsop,2003,8,3.55
Clatsop,2003,9,0.45
Clatsop,2003,10,0.01
Clatsop,2004,2,2.25
Clatsop,2004,4,0.25
Clatsop,2004,5,0.1
Clatsop,2004,7,7.1
Clatsop,2004,8,0.01
Clatsop,2005,3,5.0
Clatsop,2005,7,7.22
Clatsop,2005,8,0.25
Clatsop,2005,9,0.05
Clatsop,2005,12,5.0
Clatsop,2006,4,0.01
Clatsop,2006,5,3.3
Clatsop,2006,6,0.11
Clatsop,2006,7,0.2
Clatsop,2006,8,5.8999999999999995
Clatsop,2006,9,0.02
Clatsop,2006,10,2.5
Clatsop,2007,6,3.0
Clatsop,2007,7,0.11
Clatsop,2007,8,0.8
Clatsop,2007,9,0.02
Clatsop,2007,10,68.16
Clatsop,2008,4,5.0
Clatsop,2008,6,2.4499999999999997
Clatsop,2008,7,2.17
Clatsop,2008,9,0.11
Clatsop,2008,10,0.0
Clatsop,2009,3,0.01
Clatsop,2009,4,0.25
Clatsop,2009,5,0.8
Clatsop,2009,7,0.34
Clatsop,2009,8,0.05
Clatsop,2009,9,1.5
Clatsop,2009,10,0.01
Clatsop,2010,7,1.81
Clatsop,2010,8,0.1
Clatsop,2010,11,0.01
Clatsop,2011,2,1.51
Clatsop,2011,7,0.02
Clatsop,2011,8,0.11
Clatsop,2011,9,0.13
Clatsop,2011,10,0.52
Clatsop,2012,2,4.9
Clatsop,2012,5,0.2
Clatsop,2012,7,0.01
Clatsop,2012,8,0.04
Clatsop,2012,9,3.41
Clatsop,2012,10,0.77
Clatsop,2013,5,0.02
Clatsop,2013,7,0.02
Clatsop,2013,8,0.19
Clatsop,2013,9,0.21000000000000002
Clatsop,2013,10,1.2
Clatsop,2013,11,18.47
Clatsop,2014,1,300.0
Clatsop,2014,7,1.72
Clatsop,2014,8,1.0
Clatsop,2014,9,5.87
Clatsop,2014,10,0.01
Clatsop,2014,11,146.73
Clatsop,2015,4,0.01
Clatsop,2015,6,0.07
Clatsop,2015,7,0.06
Clatsop,2015,8,27.14
Clatsop,2015,9,0.03
Clatsop,2016,5,0.25
Clatsop,2016,6,0.01
Clatsop,2016,7,0.13
Clatsop,2016,8,0.19
Clatsop,2016,9,1.5
Clatsop,2017,6,0.12
Clatsop,2017,7,3.2800000000000002
Clatsop,2017,8,0.03
Clatsop,2017,9,0.67
Clatsop,2017,10,0.01
Clatsop,2017,12,37.2
Clatsop,2018,5,0.13
Clatsop,2018,6,0.43000000000000005
Clatsop,2018,7,0.1
Clatsop,2018,8,0.04
Clatsop,2018,9,0.03
Clatsop,2018,10,0.02
Clatsop,2018,11,35.05
Clatsop,2019,3,0.71
Clatsop,2019,5,0.9
Clatsop,2019,6,0.2
Clatsop,2019,7,0.05
Clatsop,2019,8,0.16
Clatsop,2019,9,1.42
Clatsop,2019,10,2.4699999999999998
Clatsop,2019,11,0.02
Clatsop,2020,3,0.64
Clatsop,2020,7,2.36
Clatsop,2020,8,0.04
Clatsop,2020,9,0.05
Clatsop,2020,10,0.01
Clatsop,2021,4,0.05
Clatsop,2021,7,0.16
Clatsop,2021,8,15.06
Clatsop,2021,9,0.8
Clatsop,2022,4,0.01
Clatsop,2022,6,0.03
Clatsop,2022,7,14.35
Clatsop,2022,8,1.28
Clatsop,2022,9,0.43000000000000005
Clatsop,2022,10,97.04
Clatsop,2022,11,330.15999999999997
Columbia,2000,3,0.1
Columbia,2000,4,1.15
Columbia,2000,7,1.27
Columbia,2000,8,0.11
Columbia,2000,9,0.14
Columbia,2000,10,0.12000000000000001
Columbia,2001,2,5.0
Columbia,2001,7,0.03
Columbia,2001,8,0.02
Columbia,2001,9,0.01
Columbia,2002,4,6.109999999999999
Columbia,2002,7,1.77
Columbia,2002,8,2.13
Columbia,2002,9,2.77
Columbia,2002,10,0.24000000000000002
Columbia,2002,11,0.25
Columbia,2003,2,0.76
Columbia,2003,6,0.01
Columbia,2003,7,0.8300000000000001
Columbia,2003,8,0.6900000000000001
Columbia,2003,9,1.52
Columbia,2003,10,0.1
Columbia,2004,2,2.0
Columbia,2004,4,2.01
Columbia,2004,5,0.02
Columbia,2004,6,0.04
Columbia,2004,7,0.02
Columbia,2005,7,0.11
Columbia,2005,8,0.51
Columbia,2005,9,0.65
Columbia,2006,6,0.28
Columbia,2006,7,0.62
Columbia,2006,8,0.64
Columbia,2006,9,5.01
Columbia,2006,10,1.26
Columbia,2007,4,0.25
Columbia,2007,5,0.75
Columbia,2007,6,0.02
Columbia,2007,7,0.54
Columbia,2007,8,0.02
Columbia,2007,9,0.28
Columbia,2007,12,0.02
Columbia,2008,5,0.25
Columbia,2008,6,0.51
Columbia,2008,7,12.05
Columbia,2008,8,2.14
Columbia,2008,9,0.11
Columbia,2008,10,7.0
Columbia,2009,1,0.1
Columbia,2009,4,4.5
Columbia,2009,5,0.1
Columbia,2009,7,1.59
Columbia,2009,8,27.05
Columbia,2009,9,0.01
Columbia,2010,5,0.01
Columbia,2010,7,0.01
Columbia,2010,8,0.34
Columbia,2010,9,0.01
Columbia,2010,10,0.26
Columbia,2011,6,0.02
Columbia,2011,7,0.19
Columbia,2011,8,2.25
Columbia,2011,9,0.03
Columbia,2011,10,0.03
Columbia,2011,12,0.02
Columbia,2012,2,0.2
Columbia,2012,4,0.01
Columbia,2012,6,0.01
Columbia,2012,7,4.31
Columbia,2012,8,0.01
Columbia,2012,9,3.4899999999999998
Columbia,2012,10,6.85
Columbia,2013,3,1.6
Columbia,2013,7,0.36
Columbia,2013,8,0.97
Columbia,2013,9,0.04
Columbia,2013,11,0.01
Columbia,2014,3,0.01
Columbia,2014,6,0.1
Columbia,2014,7,3.02
Columbia,2014,8,3.35
Columbia,2014,9,1.62
Columbia,2015,3,0.0
Columbia,2015,6,67.63
Columbia,2015,7,1.67
Columbia,2015,8,1.34
Columbia,2015,9,0.02
Columbia,2015,10,0.04
Columbia,2015,11,0.1
Columbia,2016,3,2.5
Columbia,2016,6,0.02
Columbia,2016,7,2.74
Columbia,2016,8,3.45
Columbia,2016,9,0.03
Columbia,2017,5,0.25
Columbia,2017,6,0.26
Columbia,2017,7,31.14
Columbia,2017,8,0.55
Columbia,2017,9,6.46
Columbia,2017,10,0.01
Columbia,2018,5,3.0
Columbia,2018,6,44.82
Columbia,2018,7,0.18
Columbia,2018,8,0.11
Columbia,2018,9,0.11
Columbia,2019,3,1.5
Columbia,2019,6,0.38
Columbia,2019,7,0.19
Columbia,2019,8,1.52
Columbia,2019,9,0.35
Columbia,2020,3,0.25
Columbia,2020,5,0.45
Columbia,2020,7,0.02
Columbia,2020,8,0.12000000000000001
Columbia,2020,9,1.73
Columbia,2021,4,1.0
Columbia,2021,5,2.31
Columbia,2021,6,6.13
Columbia,2021,7,0.1
Columbia,2021,8,0.4
Columbia,2021,9,51.68
Columbia,2022,8,0.32
Columbia,2022,9,0.26
Columbia,2022,11,4.0
Coos,2000,4,5.01
Coos,2000,5,0.19
Coos,2000,6,0.51
Coos,2000,7,0.34
Coos,2000,8,7.46
Coos,2000,9,0.06
Coos,2000,10,0.52
Coos,2001,2,4.0
Coos,2001,5,1.55
Coos,2001,6,34.78
Coos,2001,7,0.8300000000000001
Coos,2001,8,0.09
Coos,2001,9,0.5800000000000001
Coos,2001,10,0.34
Coos,2002,3,4.06
Coos,2002,4,0.05
Coos,2002,5,3.43
Coos,2002,6,0.25
Coos,2002,7,0.26
Coos,2002,8,6.25
Coos,2002,9,0.62
Coos,2002,10,1.26
Coos,2002,11,60.75
Coos,2003,2,4.61
Coos,2003,5,19.8
Coos,2003,6,0.75
Coos,2003,7,67.75
Coos,2003,8,22.580000000000002
Coos,2003,9,0.38
Coos,2003,10,7.79
Coos,2003,11,0.01
Coos,2004,4,4.76
Coos,2004,5,0.86
Coos,2004,6,116.77
Coos,2004,7,0.96
Coos,2004,8,2.39
Coos,2004,9,3.5699999999999994
Coos,2004,10,0.1
Coos,2005,3,101.16
Coos,2005,4,30.0
Coos,2005,5,0.05
Coos,2005,6,0.03
Coos,2005,7,35.58
Coos,2005,8,224.62
Coos,2005,9,0.65
Coos,2005,10,0.02
Coos,2006,2,18.11
Coos,2006,4,0.26
Coos,2006,5,19.38
Coos,2006,6,0.01
Coos,2006,7,0.19
Coos,2006,8,0.22
Coos,2006,9,0.16
Coos,2006,10,0.03
Coos,2006,11,0.01
Coos,2007,5,0.2
Coos,2007,6,26.819999999999997
Coos,2007,7,0.77
Coos,2007,8,99.47
Coos,2007,9,0.26
Coos,2007,10,11.01
Coos,2007,11,2.07
Coos,2008,3,0.01
Coos,2008,4,0.01
Coos,2008,5,5.76
Coos,2008,6,0.88
Coos,2008,7,1.22
Coos,2008,8,1.54
Coos,2008,9,1.6
Coos,2008,10,6.05
Coos,2008,11,15.5
Coos,2008,12,5.5
Coos,2009,2,1.0
Coos,2009,3,0.04
Coos,2009,4,0.38
Coos,2009,5,3.25
Coos,2009,6,1.46
Coos,2009,7,0.06
Coos,2009,8,3.58
Coos,2009,9,0.98
Coos,2009,10,0.26
Coos,2009,11,0.01
Coos,2010,4,0.01
Coos,2010,5,0.01
Coos,2010,6,0.81
Coos,2010,7,31.130000000000003
Coos,2010,8,1.69
Coos,2010,9,0.2
Coos,2010,10,2.1
Coos,2011,1,0.35
Coos,2011,5,0.2
Coos,2011,6,9.899999999999999
Coos,2011,7,5.0200000000000005
Coos,2011,8,0.32
Coos,2011,9,1.14
Coos,2011,10,8.530000000000001
Coos,2011,11,0.12
Coos,2011,12,2.5
Coos,2012,2,14.4
Coos,2012,5,0.03
Coos,2012,7,37.84
Coos,2012,8,0.02
Coos,2012,9,2.12
Coos,2012,10,0.24000000000000002
Coos,2013,2,0.01
Coos,2013,3,4.01
Coos,2013,4,0.1
Coos,2013,5,10.41
Coos,2013,6,0.26
Coos,2013,7,7.74
Coos,2013,8,0.53
Coos,2013,9,0.2
Coos,2013,12,0.25
Coos,2014,1,591.26
Coos,2014,2,0.01
Coos,2014,3,0.03
Coos,2014,4,0.27
Coos,2014,5,0.1
Coos,2014,6,0.7100000000000001
Coos,2014,7,0.05
Coos,2014,8,0.27
Coos,2014,9,0.51
Coos,2014,10,2.24
Coos,2014,12,0.15
Coos,2015,3,0.01
Coos,2015,5,27.259999999999998
Coos,2015,6,5.59
Coos,2015,7,0.46
Coos,2015,8,0.51
Coos,2015,9,57.43
Coos,2015,10,0.1
Coos,2015,11,0.01
Coos,2015,12,0.5
Coos,2016,4,0.51
Coos,2016,5,6.319999999999999
Coos,2016,6,1.71
Coos,2016,7,0.15
Coos,2016,8,7.3999999999999995
Coos,2016,9,1.24
Coos,2016,10,14.76
Coos,2017,5,0.44
Coos,2017,6,0.01
Coos,2017,7,0.79
Coos,2017,8,0.37
Coos,2017,9,0.79
Coos,2017,10,16.47
Coos,2017,11,0.01
Coos,2017,12,1.5
Coos,2018,2,0.01
Coos,2018,5,1.86
Coos,2018,6,2.01
Coos,2018,7,5.06
Coos,2018,8,0.09
Coos,2018,9,2.55
Coos,2018,10,1.16
Coos,2018,11,3.26
Coos,2019,3,2.6
Coos,2019,4,1.04
Coos,2019,5,0.31
Coos,2019,6,0.28
Coos,2019,7,0.15000000000000002
Coos,2019,8,1.5899999999999999
Coos,2019,9,0.39
Coos,2019,10,2.04
Coos,2019,11,2.69
Coos,2020,3,3.0
Coos,2020,4,0.25
Coos,2020,7,0.85
Coos,2020,8,0.42
Coos,2020,9,319.57
Coos,2020,10,8.5
Coos,2020,11,0.1
Coos,2020,12,0.01
Coos,2021,3,0.02
Coos,2021,4,13.91
Coos,2021,5,2.2800000000000002
Coos,2021,6,0.54
Coos,2021,7,0.26
Coos,2021,8,5.9799999999999995
Coos,2021,9,3.7699999999999996
Coos,2021,10,0.25
Coos,2022,1,0.01
Coos,2022,2,0.03
Coos,2022,3,0.01
Coos,2022,5,0.1
Coos,2022,6,1.5999999999999999
Coos,2022,7,0.38
Coos,2022,8,18.86
Coos,2022,9,12.72
Coos,2022,10,0.22
Coos,2022,11,15.81
Crook,2000,6,1.5
Crook,2000,7,0.05
Crook,2000,8,1.37
Crook,2000,9,1.0
Crook,2001,6,0.35
Crook,2001,7,0.03
Crook,2002,5,0.01
Crook,2002,6,0.11
Crook,2002,7,5.0
Crook,2002,8,0.21000000000000002
Crook,2002,11,30.0
Crook,2003,7,0.2
Crook,2003,8,0.5
Crook,2003,9,0.21000000000000002
Crook,2003,10,5.0
Crook,2004,5,0.1
Crook,2004,6,0.28
Crook,2004,7,0.2
Crook,2004,8,0.38
Crook,2005,4,0.01
Crook,2005,8,26.220000000000002
Crook,2005,10,2.0
Crook,2006,5,0.1
Crook,2006,6,0.02
Crook,2006,7,2.6300000000000003
Crook,2006,8,0.47000000000000003
Crook,2006,10,2.5
Crook,2007,6,7.21
Crook,2007,7,358.63
Crook,2007,8,0.37
Crook,2007,9,120.0
Crook,2008,6,0.1
Crook,2008,7,0.42
Crook,2008,8,2.6
Crook,2009,5,0.1
Crook,2009,6,0.3
Crook,2009,7,2.12
Crook,2009,8,68.84
Crook,2009,9,6.0
Crook,2010,7,0.36
Crook,2010,8,0.66
Crook,2010,10,1.0
Crook,2011,8,211.4
Crook,2011,9,31.0
Crook,2011,10,25.75
Crook,2012,7,0.1
Crook,2013,5,2.8000000000000003
Crook,2013,7,29.6
Crook,2013,8,1.48
Crook,2013,9,0.1
Crook,2014,5,2.25
Crook,2014,7,1.6400000000000001
Crook,2014,8,0.1
Crook,2014,9,0.12000000000000001
Crook,2014,10,30.3
Crook,2015,4,0.3
Crook,2015,5,4.4
Crook,2015,6,1.11
Crook,2015,7,2.2
Crook,2015,8,0.6
Crook,2015,9,0.1
Crook,2016,6,0.32
Crook,2016,7,2.42
Crook,2016,9,0.1
Crook,2017,5,0.1
Crook,2017,6,0.45
Crook,2017,7,195.01
Crook,2017,9,0.33
Crook,2017,10,0.26
Crook,2018,6,0.1
Crook,2018,7,4.1
Crook,2018,8,27.6
Crook,2018,11,8.95
Crook,2019,6,0.49
Crook,2019,7,0.1
Crook,2019,8,0.12000000000000001
Crook,2019,9,0.01
Crook,2020,4,1.26
Crook,2020,5,0.27
Crook,2020,6,946.2
Crook,2020,7,4.6
Crook,2020,8,2.9
Crook,2021,4,16.349999999999998
Crook,2021,6,1.07
Crook,2021,7,1.8100000000000003
Crook,2021,9,2.16
Crook,2022,7,1.1
Crook,2022,8,0.31
Crook,2022,9,0.30000000000000004
Curry,2000,5,0.25
Curry,2000,6,0.35
Curry,2000,7,0.04
Curry,2000,8,7.23
Curry,2000,9,3.0
Curry,2000,12,0.01
Curry,2001,6,0.1
Curry,2001,7,0.04
Curry,2001,8,8.1
Curry,2002,5,0.51
Curry,2002,6,0.08
Curry,2002,9,5.84
Curry,2002,10,0.67
Curry,2002,11,11.17
Curry,2003,5,54.2
Curry,2003,6,0.5700000000000001
Curry,2003,7,2.63
Curry,2003,8,47.760000000000005
Curry,2003,9,0.49
Curry,2003,10,9.0
Curry,2003,11,3.0
Curry,2004,4,8.03
Curry,2004,6,0.15000000000000002
Curry,2004,7,0.36
Curry,2004,8,43.05
Curry,2004,9,0.12000000000000001
Curry,2004,10,1.0
Curry,2005,1,0.01
Curry,2005,3,10.0
Curry,2005,4,0.02
Curry,2005,6,0.1
Curry,2005,7,14773.62
Curry,2005,8,0.32
Curry,2005,9,2.9699999999999998
Curry,2006,2,0.11
Curry,2006,4,0.1
Curry,2006,5,0.7
Curry,2006,6,0.05
Curry,2006,7,0.78
Curry,2006,8,1.27
Curry,2006,9,2.01
Curry,2006,10,0.05
Curry,2007,5,2.1
Curry,2007,6,0.12
Curry,2007,7,0.1
Curry,2007,8,0.27
Curry,2007,9,0.22
Curry,2007,10,29.46
Curry,2007,11,36.0
Curry,2008,4,0.1
Curry,2008,5,0.6900000000000001
Curry,2008,6,1.54
Curry,2008,7,4.51
Curry,2008,8,3.0
Curry,2008,9,0.04
Curry,2008,10,2.66
Curry,2008,11,0.13
Curry,2009,5,0.5
Curry,2009,7,1.92
Curry,2009,8,0.03
Curry,2009,9,0.01
Curry,2009,10,0.51
Curry,2010,7,148.01
Curry,2010,8,0.03
Curry,2010,9,0.1
Curry,2011,5,3.06
Curry,2011,6,0.01
Curry,2011,7,0.13
Curry,2011,8,9.27
Curry,2011,9,0.86
Curry,2012,5,0.01
Curry,2012,7,1.25
Curry,2012,8,1.01
Curry,2012,9,6.69
Curry,2013,4,0.25
Curry,2013,5,3.02
Curry,2013,6,1.02
Curry,2013,7,5.300000000000001
Curry,2013,8,0.38
Curry,2013,9,0.03
Curry,2013,10,0.98
Curry,2013,11,44.0
Curry,2013,12,4.71
Curry,2014,1,175.25
Curry,2014,4,0.35
Curry,2014,5,0.26
Curry,2014,6,56.03
Curry,2014,7,0.02
Curry,2014,8,0.02
Curry,2014,10,0.01
Curry,2015,3,0.01
Curry,2015,4,0.25
Curry,2015,5,2.11
Curry,2015,6,3.13
Curry,2015,7,0.4
Curry,2015,8,2.71
Curry,2015,9,2.4299999999999997
Curry,2015,10,0.01
Curry,2016,5,0.08
Curry,2016,6,0.05
Curry,2016,7,1.11
Curry,2016,8,19.839999999999996
Curry,2016,9,0.99
Curry,2016,10,0.94
Curry,2017,5,27.7
Curry,2017,6,0.18
Curry,2017,7,190590.03
Curry,2017,8,2.7
Curry,2017,9,0.11
Curry,2017,10,1.1400000000000001
Curry,2017,12,15.0
Curry,2018,4,2.25
Curry,2018,5,0.1
Curry,2018,6,0.02
Curry,2018,7,175657.12
